iter	Passed	Remaining
0	1	1250
1	2	1261
2	3	1198
3	4	1137
4	5	1173
5	7	1190
6	8	1201
7	10	1301
8	12	1375
9	14	1473
10	16	1478
11	18	1490
12	19	1445
13	20	1431
14	21	1422
15	24	1479
16	26	1506
17	28	1532
18	30	1564
19	32	1584
20	33	1575
21	34	1552
22	36	1533
23	37	1536
24	39	1543
25	41	1551
26	42	1543
27	43	1519
28	45	1506
29	46	1511
30	48	1502
31	49	1487
32	50	1478
33	51	1462
34	52	1442
35	53	1433
36	54	1421
37	55	1413
38	56	1395
39	57	1384
40	58	1375
41	59	1358
42	60	1345
43	61	1336
44	62	1325
45	63	1314
46	64	1303
47	64	1287
48	65	1277
49	66	1266
50	67	1257
51	68	1246
52	69	1237
53	69	1224
54	70	1216
55	71	1208
56	72	1195
57	72	1184
58	74	1180
59	74	1172
60	75	1164
61	76	1160
62	77	1149
63	78	1143
64	79	1137
65	79	1127
66	80	1119
67	81	1111
68	82	1108
69	83	1102
70	84	1107
71	85	1100
72	85	1091
73	86	1081
74	87	1073
75	87	1066
76	88	1058
77	89	1056
78	90	1049
79	90	1042
80	91	1035
81	91	1028
82	92	1021
83	93	1014
84	93	1009
85	94	1003
86	95	997
87	95	989
88	96	988
89	97	987
90	98	982
91	98	976
92	99	971
93	100	964
94	100	959
95	101	954
96	102	949
97	102	944
98	103	939
99	104	937
100	104	933
101	105	929
102	106	925
103	106	920
104	107	916
105	108	912
